2d	..----..
4h	....-....
4th	....--....
aae	.-.-.
aar	.-.-.-.
aarc	.-.-.-.-.-.
abate	.--....--.
abelian	.--.....-.....--.
abime	.--.....--.
ablute	.--....-....--.
abp	.--....--.
acetate	.--.-..-.--.
aching	.--.-.......-.--.
acing	.--.-...-.--.
acme	.--.-.--.
acuan	.--.-...-.--.
acuate	.--.-...-.--.
adan	.--...--.
adccp	.--..-.-.-.-..--.
adeep	.--.....--.
adiate	.--.....--.
adnan	.--..-..--.
adnate	.--..-..--.
adp	.--...--.
adsp	.--......--.
ae	.-.
aec	.-.-.-.
aef	.-...-.
aer	.-..-.
aerometer	.-..-.-----.-..-.
aesculin	.-....-.-...-.-....-.
aesir	.-.......-.
af	.-..-.
afr	.-..-..-.
afrete	.-..-..-..-.
after	.-..-.-..-.
ag	.---.
agag	.---..---.
ahir	.-.......-.
aif	.-....-.
aimer	.-..--..-.
ain	.-..-.
air	.-...-.
airer	.-...-...-.
ajc	.-.----.-.
akan	.--.-.--.
aking	.--.-..-.--.
akkerman	.--.--.-..-.--.--.
alar	.-.-...-.-.
alaric	.-.-...-.-...-.-.
albainn	.-.-..-....-..-.-.
albitic	.-.-..-.....-..-.-.
alc	.-.-..-.-.
alec	.-.-...-.-.
alexinic	.-.-...-..-..-...-.-.
alexiteric	.-.-...-..-..-..-...-.-.
algar	.-.-..--..-.-.
alic	.-.-....-.-.
alike	.-.-....-.-.
allogenic	.-.-...-..-----..-...-.-.
alric	.-.-...-...-.-.
alsike	.-.-.......-.-.
altaic	.-.-..-.-..-.-.
alten	.-.-..-.-.
altern	.-.-..-..-.-.
alur	.-.-....-.-.
ambon	.----...----.
ame	.---.
ammon	.---------.
amnion	.----...----.
amniote	.----...----.
amon	.-------.
an	.--.
anan	.--..--.
anding	.--.-....-.--.
anette	.--..--.
ang	.--.--.
angang	.--.--..--.--.
anime	.--...--.
anisate	.--.......--.
anisette	.--.......--.
anlaute	.--..-...-..--.
annexing	.--.-..-..-..-.--.
ansate	.--.....--.
anshan	.--.........--.
anteing	.--.-...-.--.
anticking	.--.-..-.-.-.-..-.--.
antiking	.--.-..-.-..-.--.
anting	.--.-..-.--.
antinganting	.--.-..-.--..--.-..-.--.
antiquating	.--.-..--.-..-.--..-.--.
antistate	.--.-.....-.--.
aphasiac	.-.--......-......--.-.
ar	.-.-.
arar	.-.-..-.-.
arbtrn	.-.-.-...-.-.-.
arc	.-.-.-.-.
arear	.-.-...-.-.
areic	.-.-....-.-.
arenilitic	.-.-..-....-....-..-.-.
arhar	.-.-......-.-.
aric	.-.-...-.-.
aristae	.-.-......-.-.
arn	.-.-.-.
aroar	.-.-.---.-.-.
artar	.-.-.-.-.-.
arte	.-.-.-.
ascite	.-...-.-...-.
asculae	.-...-.-...-.-...-.
aser	.-.....-.
ashen	.-........-.
asher	.-.........-.
ashien	.-..........-.
ashier	.-...........-.
ashir	.-..........-.
asir	.-......-.
asn	.-...-.
asr	.-....-.
assen	.-.......-.
asser	.-........-.
assn	.-......-.
assr	.-.......-.
assuasive	.-........-.-........-.
asteer	.-...-...-.
asterin	.-...-..-...-.
asterite	.-...-..-...-.
astir	.-...-...-.
astrer	.-...-.-...-.
asweve	.-....--....-.
ataman	.--.---.--.
atap	.--.-.--.
ate	.--.
atip	.--...--.
atn	.---.
aton	.------.
atp	.--.--.
attame	.---.---.
atte	.---.
attn	.----.
audwin	.-..--...--..-.
auer	.-..-..-.
auf	.-..-..-.
augen	.-..---..-.
aurae	.-..-.-..-.
auster	.-..-...-..-.
austin	.-..-...-..-.
ave	.-...-.
avener	.-...-.-...-.
avenin	.-...-.-...-.
avenue	.-...-.-...-.
averin	.-...-..-...-.
averrer	.-...-..-..-...-.
avner	.-...--...-.
avoir	.-...----...-.
awake	.-.--.--.-.
awoke	.-.------.-.
axoneme	.--..-----..--.
aye	.--.--.
ba	-....-
baba	-....--....-
baeria	-....-..-....-
baht	-....-....-
balu	-....-.-....-
banaba	-....--..--....-
bangia	-....--.--....-
bania	-....--....-
barba	-....-.-.-....-
barbet	-....-.-.-....-
baria	-....-.-....-
baruria	-....-.-...-.-....-
bda	-...-...-
bea	-.....-
becurst	-....-.-...-.-....-
beefiest	-.......-.......-
beest	-........-
beet	-.....-
befist	-......-......-
behest	-............-
beisa	-..........-
belia	-.....-.....-
bemba	-....---....-
benia	-....-....-
bertha	-.....-.-.....-
besa	-........-
beset	-........-
besht	-...........-
besit	-.........-
best	-.......-
bet	-....-
bev	-.......-
bha	-........-
bhabha	-........--........-
bhikshu	-.........-.-.........-
bht	-.......-
bia	-......-
biggest	-.....--.--.....-
bight	-.....--.....-
birsit	-......-......-
biset	-.........-
bisset	-............-
bist	-........-
bit	-.....-
biu	-.......-
blea	-....-....-
blit	-....-....-
bloodtest	-....-..-------..-....-
bloomeria	-....-..--------..-....-
bluest	-....-....-....-
bmv	-...--...-
bnu	-...-...-
boost	-...------...-
